id,created_at,text
1539416362690412545,2022-06-22 01:13:56+00:00,"b'#CruzRojaMexicana est\xc3\xa1 atendiendo un #accidente de #tr\xc3\xa1nsito en Luis Encinas Jhonson, San Benito, Hermosillo con una #ambulancia donada con tus aportaciones https://t.co/a8s5OyGSlT'"
1539414228771213312,2022-06-22 01:05:27+00:00,"b'Una #ambulancia de #CruzRojaMexicana est\xc3\xa1 atendiendo un #accidente de #tr\xc3\xa1nsito en Carretera Internacional, Acacias Residencial, Nogales extrema precauciones al pasar por ese lugar https://t.co/jdfm37ZRkI'"
1539410937127620608,2022-06-22 00:52:22+00:00,"b'Un #accidente de #tr\xc3\xa1nsito en Callejon Jalisco, Urbanizable 4, Cajeme fue reportado a #CruzRojaMexicana, te recomendamos tener cuidado al transitar en esa zona https://t.co/y8fIbC8fuu'"
1539403169461043201,2022-06-22 00:21:30+00:00,"b'Una #ambulancia de #CruzRojaMexicana labora atendiendo a un paciente herido por un #accidente de #tr\xc3\xa1nsito en Av. Mexico y 36, M\xc3\xa9xico, San Luis R\xc3\xado Colorado https://t.co/wVZ3Exw2v7'"
1539385891411615744,2022-06-21 23:12:51+00:00,"b'Veh\xc3\xadculos de #emergencia y #CruzRojaMexicana acuden a Alfarez Juan Bautista de Escalante (progreso), Solidaridad Vildosola, Hermosillo a auxiliar por un #accidente de #tr\xc3\xa1nsito https://t.co/zW33QazF6F'"
1539382260868304896,2022-06-21 22:58:25+00:00,"b'#CruzRojaMexicana est\xc3\xa1 ayudando en un #accidente de #tr\xc3\xa1nsito en Carretera 100, Miguel Alem\xc3\xa1n Centro, Hermosillo, ten cuidado al pasar por el lugar https://t.co/31de7f5yMf'"
1539374786865991681,2022-06-21 22:28:44+00:00,"b'Una #ambulancia de #CruzRojaMexicana labora atendiendo a un paciente herido por un #accidente de #tr\xc3\xa1nsito en Solidaridad, Solidaridad Vildosola, Hermosillo https://t.co/zW33QazF6F'"
1539361012247314433,2022-06-21 21:33:59+00:00,"b'#CruzRojaMexicana est\xc3\xa1 atendiendo un #accidente de #tr\xc3\xa1nsito en Lopez del Castillo, Eusebio Kino, Hermosillo con una #ambulancia donada con tus aportaciones https://t.co/hkj5LzyuXr'"
1539349897304055809,2022-06-21 20:49:49+00:00,"b'Una #ambulancia de #CruzRojaMexicana est\xc3\xa1 atendiendo un #accidente de #tr\xc3\xa1nsito en Lazaro Cardenas, Reforma Norte, Hermosillo extrema precauciones al pasar por ese lugar https://t.co/5HIcOQCHci'"
1539331881744875521,2022-06-21 19:38:14+00:00,"b'En 13, Aviaci\xc3\xb3n, Caborca, elementos de #CruzRojaMexicana est\xc3\xa1n ayudando en un #incendio https://t.co/ABtb3V0FSV'"
1539330649416515585,2022-06-21 19:33:20+00:00,"b'Veh\xc3\xadculos de #emergencia y #CruzRojaMexicana acuden a Carr  de Hillo-guaymas km 198, Hermosillo, Hermosillo a auxiliar por un #accidente de #tr\xc3\xa1nsito https://t.co/SBcU8IFWeW'"
1539317088183013376,2022-06-21 18:39:27+00:00,"b'Una #ambulancia de #CruzRojaMexicana labora atendiendo a un paciente herido por un #accidente de #tr\xc3\xa1nsito en Paris, Prados Del Tepeyac, Cajeme https://t.co/9sGpNpJ68k'"
